Name,HOF_status,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,wRC+,Off,Def,WAR
Joe Jackson,not_HOF,1332,5690,54,873,785,202,0.356,0.423,0.517,165,417.5,-49.1,60.4
Jack Glasscock,not_HOF,1736,7535,27,1163,825,372,0.29,0.337,0.374,110,127.5,251.2,60.1
Sammy Sosa,not_HOF,2354,9896,609,1475,1667,234,0.273,0.344,0.534,124,300.4,-8.1,60.1
Bobby Abreu,not_HOF,2425,10081,288,1453,1363,400,0.291,0.395,0.475,129,416.6,-141.3,59.7
Keith Hernandez,not_HOF,2088,8553,162,1124,1071,98,0.296,0.384,0.436,131,294.3,0.3,59.4
Joey Votto,not_HOF,2056,8746,356,1171,1144,80,0.294,0.409,0.511,145,440.6,-151.6,58.7
Buster Posey,not_HOF,1371,5607,158,663,729,23,0.302,0.372,0.46,129,163.1,215.7,57.9
Robinson Cano,not_HOF,2267,9550,335,1262,1306,51,0.301,0.351,0.488,124,236.8,0.5,57.5
John Olerud,not_HOF,2234,9063,255,1139,1230,11,0.295,0.398,0.465,130,322.1,-45.3,57.3
Bobby Bonds,not_HOF,1849,8090,332,1258,1024,460,0.268,0.353,0.471,130,303.9,-34.6,57.1
Bob Johnson,not_HOF,1863,8047,288,1239,1283,96,0.296,0.393,0.506,132,336.8,-54.2,56.9
Robin Ventura,not_HOF,2079,8271,294,1006,1182,24,0.267,0.362,0.444,113,124.9,169.6,56.7
Jimmy Sheckard,not_HOF,2122,9118,56,1296,813,465,0.274,0.375,0.378,121,266.2,-27.1,56.7
Willie Wells,not_HOF,1039,4435,140,932,873,160,0.33,0.407,0.535,151,323.1,112.3,56.2
Sal Bando,not_HOF,2019,8288,242,982,1039,75,0.254,0.352,0.408,121,194.4,70.4,56.2
Jeff Kent,not_HOF,2298,9537,377,1320,1518,94,0.29,0.356,0.5,123,259.7,1.2,56
Lance Berkman,not_HOF,1879,7814,366,1146,1234,86,0.293,0.406,0.537,144,421.7,-110,55.9
Stan Hack,not_HOF,1938,8506,57,1239,642,165,0.301,0.394,0.397,124,269.3,16.3,55.9
Ron Cey,not_HOF,2073,8344,316,977,1139,24,0.261,0.354,0.445,123,208.4,46.5,55.6
Yadier Molina,not_HOF,2226,8554,176,777,1022,71,0.277,0.327,0.399,97,-109.9,374,55.6
Evan Longoria,not_HOF,1986,8206,342,1017,1159,58,0.264,0.333,0.471,117,165.5,96.5,55.2
Luis Gonzalez,not_HOF,2591,10531,354,1412,1439,128,0.283,0.367,0.479,118,229,-13.8,55.2
Harry Stovey,not_HOF,1486,6832,122,1492,908,509,0.289,0.361,0.461,132,379.1,-27.7,54.9
Joe Kelley,not_HOF,1853,8120,65,1421,1194,443,0.317,0.402,0.451,130,393.4,-67.7,54.9
Brian Giles,not_HOF,1847,7836,287,1121,1078,109,0.291,0.4,0.502,136,384.8,-80.8,54.8
Ken Boyer,not_HOF,2034,8268,282,1104,1141,105,0.287,0.349,0.462,116,151.5,105.7,54.8
Norm Cash,not_HOF,2089,7910,377,1046,1103,43,0.271,0.374,0.488,139,354.3,-72.9,54.6
Turkey Stearnes,not_HOF,986,4224,186,910,1001,129,0.349,0.417,0.616,173,421.8,5.7,54.5
Russell Martin,not_HOF,1693,6648,191,803,771,101,0.248,0.349,0.397,104,12.2,301.9,54.5
Oscar Charleston,not_HOF,916,3820,143,855,853,209,0.364,0.449,0.615,181,439.2,-7.5,54.3
Willie Davis,not_HOF,2429,9822,182,1217,1053,398,0.279,0.311,0.412,105,87.7,90.7,53.7
Jimmy Wynn,not_HOF,1920,8010,291,1105,964,225,0.25,0.366,0.436,130,274.5,-63.8,52.8
Brian McCann,not_HOF,1755,6850,282,742,1018,25,0.262,0.337,0.452,110,23.6,266.3,52.1
Tommy Leach,not_HOF,2156,9051,63,1355,810,361,0.269,0.34,0.37,110,108.4,71.6,52.1
Chet Lemon,not_HOF,1988,7874,215,973,884,58,0.273,0.355,0.442,122,182.4,63.3,52
Will Clark,not_HOF,1976,8283,284,1186,1205,67,0.303,0.384,0.497,136,347.7,-115.9,52
David Wright,not_HOF,1585,6872,242,949,970,196,0.296,0.376,0.491,133,297.9,-8.7,51.3
Jose Cruz,not_HOF,2353,8931,165,1036,1077,317,0.284,0.354,0.42,119,206.1,-11.3,50.8
Mike Cameron,not_HOF,1955,7884,278,1064,968,297,0.249,0.338,0.444,107,120.2,130.4,50.6
Jack Clark,not_HOF,1994,8230,340,1118,1180,77,0.267,0.379,0.476,138,349.1,-135.7,50.6
Heinie Groh,not_HOF,1676,7035,26,918,566,180,0.292,0.373,0.384,122,152.8,76.4,50.5
Bob Elliott,not_HOF,1978,8190,170,1064,1195,60,0.289,0.375,0.44,124,250.9,-18.8,50.4
Cesar Cedeno,not_HOF,2006,8133,199,1084,976,550,0.285,0.347,0.443,122,248.6,-50.4,49.9
Jason Giambi,not_HOF,2260,8908,440,1227,1441,20,0.277,0.399,0.516,140,431.3,-223.6,49.8
Jimmy Rollins,not_HOF,2275,10240,231,1421,936,470,0.264,0.324,0.418,95,25.4,139.8,49.7
Larry Doyle,not_HOF,1766,7382,74,960,793,298,0.29,0.357,0.408,126,226.8,-17.9,49.6
Matt Holliday,not_HOF,1903,7981,316,1157,1220,108,0.299,0.379,0.51,135,334.8,-104,49.5
Ed Konetchy,not_HOF,2085,8664,74,972,992,255,0.281,0.346,0.403,119,195.3,-17.3,49.3
Rocky Colavito,not_HOF,1841,7559,374,971,1159,19,0.266,0.359,0.489,132,284.2,-35.4,49.2
Fred Lynn,not_HOF,1969,7923,306,1063,1111,72,0.283,0.36,0.484,129,261.4,-53.2,49.2
John McGraw,not_HOF,1099,4926,13,1024,462,436,0.334,0.466,0.41,142,339.2,35.6,48.9
Brian Downing,not_HOF,2344,9309,275,1188,1074,50,0.267,0.37,0.425,124,259.9,-100.3,48.4
Vern Stephens,not_HOF,1720,7240,247,1001,1174,25,0.286,0.355,0.46,117,141.3,83.5,48.3
Earl Averill Sr.,not_HOF,1668,7215,238,1224,1164,70,0.318,0.395,0.534,130,294.3,-56.9,47.9
Rusty Staub,not_HOF,2951,11229,292,1189,1466,47,0.279,0.362,0.431,122,282.2,-216,47.9
Moises Alou,not_HOF,1942,7913,332,1109,1287,106,0.303,0.369,0.516,129,280,-51.5,47.7
Ian Kinsler,not_HOF,1888,8299,257,1243,909,243,0.269,0.337,0.44,107,118.5,61.4,47.3
Vada Pinson,not_HOF,2469,10403,256,1365,1169,305,0.286,0.327,0.442,110,144.4,-44.8,47.3
George Foster,not_HOF,1977,7812,348,986,1239,51,0.274,0.338,0.48,126,233.2,-39.7,47.1
Curtis Granderson,not_HOF,2057,8306,344,1217,937,153,0.249,0.337,0.465,115,192.9,-8.9,47
Tony Phillips,not_HOF,2161,9110,160,1300,819,177,0.266,0.374,0.389,112,125,32.7,46.6
Josh Donaldson,not_HOF,1384,5856,279,816,816,40,0.261,0.358,0.489,132,214.8,39.3,46.4
J.D. Drew,not_HOF,1566,6153,242,944,795,87,0.278,0.384,0.489,128,235.9,25.2,46
George Burns,not_HOF,1853,8251,41,1188,611,383,0.287,0.366,0.384,118,158.1,-12.7,45.9
Joe Judge,not_HOF,2171,9171,71,1184,1034,213,0.298,0.378,0.42,115,176.8,-49.3,45.9
Toby Harrah,not_HOF,2155,8767,195,1115,918,238,0.264,0.365,0.395,116,178,-32.5,45.8
Lave Cross,not_HOF,2275,9710,47,1333,1371,301,0.292,0.328,0.382,98,-51.1,161.9,45.8
Charlie Keller,not_HOF,1170,4604,189,725,760,45,0.286,0.41,0.518,151,288.8,-6.1,45.7
Jimmy Ryan,not_HOF,2012,9106,118,1642,1093,418,0.306,0.374,0.444,119,259.7,-101.1,45.7
Cupid Childs,not_HOF,1456,6758,20,1214,743,269,0.306,0.416,0.389,123,224.4,51.3,45.6
Pete Browning,not_HOF,1183,5315,46,954,659,258,0.341,0.403,0.467,147,382.6,-66.7,45.5
Christian Yelich,not_HOF,1616,7027,233,1033,851,221,0.285,0.374,0.464,129,301.8,-87.2,45.5
Fred Tenney,not_HOF,1994,8807,22,1278,688,285,0.294,0.371,0.358,111,103.2,36.3,45.5
Mark Grace,not_HOF,2245,9290,173,1179,1146,70,0.303,0.383,0.442,120,214.4,-62.7,45.5
Mike Griffin,not_HOF,1511,6832,42,1405,719,473,0.296,0.388,0.407,122,257,-5.3,45.3
Larry Gardner,not_HOF,1923,7685,27,866,934,165,0.289,0.355,0.384,110,67.6,95.6,45.2
Fielder Jones,not_HOF,1788,7894,21,1180,631,359,0.285,0.368,0.347,116,162.7,9.6,45.1
Gene Tenace,not_HOF,1555,5525,201,653,674,36,0.241,0.388,0.429,140,239.3,5.2,45
Art Fletcher,not_HOF,1533,6039,32,684,675,159,0.277,0.319,0.365,100,-7,234.5,45
Mark Teixeira,not_HOF,1862,8029,409,1099,1298,26,0.268,0.36,0.509,127,256.7,-81.1,45
Hughie Jennings,not_HOF,1284,5639,18,994,840,359,0.311,0.39,0.406,119,190.1,107.7,44.9
Bert Campaneris,not_HOF,2328,9625,79,1181,646,649,0.259,0.311,0.342,90,-56,181.5,44.9
Dustin Pedroia,not_HOF,1512,6777,140,922,725,138,0.299,0.365,0.439,115,118.3,86.3,44.8
Bill Freehan,not_HOF,1774,6899,200,706,758,24,0.262,0.34,0.412,113,94.3,109.1,44.8
Matt Williams,not_HOF,1866,7595,378,997,1218,53,0.268,0.317,0.489,110,88.6,109.9,44.8
George Van Haltren,not_HOF,1984,8979,69,1639,1014,583,0.316,0.385,0.417,119,283.5,-119.7,44.8
Ellis Burks,not_HOF,2000,8177,352,1253,1206,181,0.291,0.363,0.51,125,262.1,-79.2,44.7
Ken Singleton,not_HOF,2082,8559,246,985,1065,21,0.282,0.388,0.436,134,322.3,-183.7,44.4
Johnny Damon,not_HOF,2490,10917,235,1668,1139,408,0.284,0.352,0.433,105,145.9,-73,44.4
Dale Murphy,not_HOF,2180,9041,398,1197,1266,161,0.265,0.346,0.469,119,206.3,-76.2,44.3
Jim Fregosi,not_HOF,1902,7402,151,844,706,76,0.265,0.338,0.398,113,110.9,77.1,44.2
Paul Hines,not_HOF,1659,7470,57,1217,855,163,0.302,0.34,0.409,124,261.9,-46.1,44.2
Buddy Myer,not_HOF,1923,8187,38,1174,850,156,0.303,0.389,0.406,110,90.4,62.2,44.2
Boog Powell,not_HOF,2042,7810,339,889,1187,20,0.266,0.361,0.462,134,292.3,-117.4,44.1
Carlos Delgado,not_HOF,2035,8657,473,1241,1512,14,0.28,0.383,0.546,135,368.6,-209.1,44.1
Roy Thomas,not_HOF,1470,6575,7,1011,299,244,0.29,0.413,0.333,128,216.6,-17.9,44
Bernie Williams,not_HOF,2076,9053,287,1366,1257,147,0.297,0.381,0.477,126,286.3,-143,43.9
Dolph Camilli,not_HOF,1490,6352,239,936,950,60,0.277,0.388,0.492,135,282.1,-39.8,43.8
Mike Tiernan,not_HOF,1476,6716,106,1313,851,428,0.311,0.392,0.463,132,340.6,-86.9,43.8
Ryan Braun,not_HOF,1766,7340,352,1080,1154,216,0.296,0.358,0.532,135,333.6,-139.5,43.8
Bobby Veach,not_HOF,1821,7557,64,953,1166,195,0.31,0.37,0.442,124,202.2,-51.6,43.8
Jose Reyes,not_HOF,1877,8240,145,1180,719,517,0.283,0.334,0.427,103,105,61.8,43.8
Hardy Richardson,not_HOF,1331,6029,70,1120,822,205,0.299,0.344,0.435,123,212.1,40.6,43.6
Jake Daubert,not_HOF,2014,8742,56,1117,722,251,0.303,0.36,0.401,117,161.5,-46.9,43.5
Tony Fernandez,not_HOF,2158,8793,94,1057,844,246,0.288,0.347,0.399,102,19.3,116.9,43.5
Augie Galan,not_HOF,1742,7003,100,1004,830,123,0.287,0.39,0.419,125,231,-30.6,43.4
Lance Parrish,not_HOF,1988,7797,324,856,1070,28,0.252,0.313,0.44,105,34.9,128.5,43.4
Al Oliver,not_HOF,2368,9778,219,1189,1326,84,0.303,0.344,0.451,120,220.4,-135,43.4
George Gore,not_HOF,1310,6104,46,1327,618,170,0.301,0.386,0.411,131,277.3,-32.3,42.9
Torii Hunter,not_HOF,2372,9692,353,1296,1391,195,0.277,0.331,0.461,110,102.7,-7.9,42.9
Wally Berger,not_HOF,1350,5663,242,809,898,36,0.3,0.359,0.522,136,265.4,-7.4,42.8
Babe Herman,not_HOF,1552,6226,181,882,997,94,0.324,0.383,0.532,138,337.4,-92.4,42.8
Ben Zobrist,not_HOF,1651,6836,167,884,768,116,0.266,0.357,0.426,116,142,40.7,42.7
Omar Vizquel,not_HOF,2968,12013,80,1445,951,404,0.272,0.336,0.352,83,-234.3,262.1,42.5
Brett Butler,not_HOF,2213,9545,54,1359,578,558,0.29,0.377,0.376,115,169.7,-76.5,42.2
Jose Canseco,not_HOF,1887,8129,462,1186,1407,200,0.266,0.353,0.515,130,303.5,-165.4,42.1
Jack Fournier,not_HOF,1530,6033,136,822,859,145,0.313,0.392,0.483,140,293.2,-87.7,42
Julio Franco,not_HOF,2527,9731,173,1285,1194,281,0.298,0.365,0.417,112,146.2,-60.6,42
Andy Van Slyke,not_HOF,1658,6495,164,835,792,245,0.274,0.349,0.443,120,168.7,19.3,41.9
Hanley Ramirez,not_HOF,1668,7127,271,1049,917,281,0.289,0.36,0.486,125,236.4,-53.4,41.8
Davey Lopes,not_HOF,1812,7340,155,1023,614,557,0.263,0.349,0.388,111,157.9,0.4,41.8
Devon White,not_HOF,1941,8080,208,1125,846,346,0.263,0.319,0.419,98,4.2,150.6,41.8
Dixie Walker,not_HOF,1905,7666,105,1037,1023,59,0.306,0.383,0.437,121,201.3,-49.8,41.7
Ben Chapman,not_HOF,1717,7420,90,1144,977,287,0.302,0.383,0.44,115,149,6.8,41.6
Roger Peckinpaugh,not_HOF,2012,8383,48,1006,740,205,0.259,0.336,0.335,89,-114.4,222.3,41.6
Darryl Strawberry,not_HOF,1583,6326,335,898,1000,221,0.259,0.357,0.505,137,272,-81.2,41.5
Earle Combs,not_HOF,1455,6507,58,1186,632,96,0.325,0.397,0.462,126,217.9,-27.7,41.5
Nomar Garciaparra,not_HOF,1434,6116,229,927,936,95,0.313,0.361,0.521,124,199.9,18.8,41.4
Carl Crawford,not_HOF,1716,7178,136,998,766,480,0.29,0.33,0.435,104,124.6,43.4,41.2
Nelson Cruz,not_HOF,2055,8396,464,1090,1325,84,0.274,0.343,0.513,129,256.9,-140.4,41.2
Deacon White,not_HOF,1560,6972,23,1140,977,57,0.312,0.346,0.392,121,207.4,10.7,41.1
Herman Long,not_HOF,1874,8493,91,1455,1055,534,0.277,0.335,0.383,93,-40.1,181.6,41.1
Dick Bartell,not_HOF,2016,8743,79,1130,710,109,0.284,0.355,0.391,98,-15.7,147.1,41.1
Wally Schang,not_HOF,1842,6423,59,769,710,121,0.284,0.393,0.401,120,145.3,18.6,41
Albert Belle,not_HOF,1539,6676,381,974,1239,88,0.295,0.369,0.564,139,339.6,-145.5,41
Roy White,not_HOF,1881,7736,160,964,758,233,0.271,0.36,0.404,123,195.9,-54,41
Paul O'Neill,not_HOF,2053,8329,281,1041,1269,141,0.288,0.363,0.47,120,210.2,-78.7,41
Thurman Munson,not_HOF,1423,5904,113,696,701,48,0.292,0.346,0.41,116,98,98.4,40.9
Jorge Posada,not_HOF,1828,7150,275,900,1065,20,0.273,0.374,0.474,123,156.2,18,40.9
Arlie Latham,not_HOF,1627,7502,27,1478,563,739,0.269,0.334,0.341,95,24.9,138.8,40.9
Del Pratt,not_HOF,1836,7609,43,856,970,247,0.292,0.345,0.403,110,77.6,50.5,40.9
Darrell Porter,not_HOF,1782,6570,188,765,826,39,0.247,0.354,0.409,113,94.3,80.3,40.8
Don Mattingly,not_HOF,1785,7722,222,1007,1099,14,0.307,0.358,0.471,124,218.4,-75.9,40.7
Bill Nicholson,not_HOF,1677,6418,235,837,948,27,0.268,0.365,0.465,131,236.7,-50.2,40.5
Doug DeCinces,not_HOF,1649,6534,237,778,879,58,0.259,0.329,0.445,114,102.1,73.6,40.5
David Justice,not_HOF,1610,6602,305,929,1017,53,0.279,0.378,0.5,130,234.5,-52.8,40.4
Steve Finley,not_HOF,2583,10460,304,1443,1167,320,0.271,0.332,0.442,104,76.1,-8,40.4
Lenny Dykstra,not_HOF,1278,5282,81,802,404,285,0.285,0.375,0.419,122,163.8,55,40.3
Amos Otis,not_HOF,1998,8247,193,1092,1007,341,0.277,0.343,0.425,115,168.3,-58.3,40.2
Ken Williams,not_HOF,1397,5616,196,860,913,154,0.319,0.393,0.53,132,241.5,-32.6,40.1
Mule Suttles,not_HOF,906,3591,179,717,877,84,0.34,0.41,0.619,167,332.6,-36.5,40
Yasmani Grandal,not_HOF,1307,4885,194,535,592,13,0.236,0.345,0.424,112,38,194.5,40
Lonny Frey,not_HOF,1535,6402,61,848,549,105,0.269,0.359,0.374,108,75.6,120.5,39.8
Ray Lankford,not_HOF,1701,6675,238,968,874,258,0.272,0.364,0.477,123,189.8,-5,39.8
Chuck Knoblauch,not_HOF,1632,7387,98,1132,615,407,0.289,0.378,0.406,109,124.9,29.3,39.8
Gil McDougald,not_HOF,1336,5395,112,697,576,45,0.276,0.356,0.41,114,87.7,128.6,39.7
Reggie Sanders,not_HOF,1777,7043,305,1037,983,304,0.267,0.343,0.487,115,155,15.1,39.7
Miguel Tejada,not_HOF,2171,9205,307,1230,1302,85,0.285,0.336,0.456,106,50.1,43.9,39.7
Dave Concepcion,not_HOF,2488,9641,101,993,950,321,0.267,0.322,0.357,88,-106.5,172.3,39.7
Harry Davis,not_HOF,1755,7379,75,1001,951,285,0.277,0.335,0.408,119,153.3,-33.4,39.6
Fred Dunlap,not_HOF,965,4264,41,759,366,85,0.292,0.34,0.406,127,163.3,97.6,39.5
Ryan Zimmerman,not_HOF,1799,7402,284,963,1061,43,0.277,0.341,0.475,116,142.6,10.8,39.5
Rico Petrocelli,not_HOF,1553,6170,210,653,773,10,0.251,0.332,0.42,108,52.9,130.1,39.4
Jeff Heath,not_HOF,1383,5560,194,777,887,56,0.293,0.37,0.509,136,236,-48.7,39.1
Jesse Barfield,not_HOF,1428,5394,241,715,716,66,0.256,0.335,0.466,117,101,104.3,39
Miller Huggins,not_HOF,1586,6800,9,948,318,324,0.265,0.382,0.314,111,96.6,36.5,39
Alfonso Soriano,not_HOF,1975,8395,412,1152,1159,289,0.27,0.319,0.5,111,147.3,-31,39
Gary Gaetti,not_HOF,2507,9817,360,1130,1341,96,0.255,0.308,0.434,95,-68.1,135.9,39
Harlond Clift,not_HOF,1582,6894,178,1070,829,69,0.272,0.39,0.441,114,129,19.4,38.9
Charlie Bennett,not_HOF,1062,4310,55,549,533,42,0.256,0.34,0.387,116,85.8,168.7,38.8
Rudy York,not_HOF,1603,6720,277,876,1152,38,0.275,0.362,0.483,121,180.5,-32,38.8
Frank Howard,not_HOF,1895,7353,382,864,1119,8,0.273,0.352,0.499,140,325.3,-205.4,38.7
Tommy Henrich,not_HOF,1284,5409,183,901,795,37,0.282,0.382,0.491,131,216.7,-23.6,38.6
Aramis Ramirez,not_HOF,2194,8986,386,1098,1417,29,0.283,0.341,0.492,115,103.2,-8.2,38.5
Placido Polanco,not_HOF,1927,7887,104,1009,723,81,0.297,0.343,0.397,97,-37.1,161.8,38.4
Ed McKean,not_HOF,1654,7610,66,1227,1124,323,0.302,0.364,0.416,111,116.3,45.7,38.3
Art Devlin,not_HOF,1313,5241,10,603,505,285,0.269,0.364,0.338,113,85.4,82.5,38.2
Felipe Alou,not_HOF,2082,7908,206,985,852,107,0.286,0.328,0.433,113,112.5,-19.9,38.1
Dusty Baker Jr.,not_HOF,2039,8022,242,964,1013,137,0.278,0.347,0.432,117,159.8,-61.8,37.9
Jay Bell,not_HOF,2063,8525,195,1123,860,91,0.265,0.343,0.416,103,23.7,74.5,37.9
Jim Gilliam,not_HOF,2094,8870,65,1255,625,219,0.266,0.36,0.355,99,-13.5,95.5,37.9
Chili Davis,not_HOF,2436,9997,350,1240,1372,142,0.274,0.36,0.451,118,210.7,-172,37.9
Ned Williamson,not_HOF,1201,5082,64,809,667,88,0.255,0.332,0.384,112,81.7,137.1,37.8
Troy Tulowitzki,not_HOF,1291,5415,225,762,780,57,0.29,0.361,0.495,119,100.2,92,37.8
Willie Wilson,not_HOF,2154,8317,41,1168,585,668,0.285,0.326,0.376,94,15.6,80.5,37.8
Steve Garvey,not_HOF,2332,9466,272,1143,1308,83,0.294,0.329,0.446,116,166.9,-118.7,37.8
Eddie Stanky,not_HOF,1259,5435,29,811,364,48,0.268,0.41,0.348,117,121.1,73.6,37.7
Jim Sundberg,not_HOF,1962,6899,95,621,624,20,0.248,0.327,0.348,91,-83.6,223.7,37.7
Denny Lyons,not_HOF,1121,5010,62,932,755,224,0.31,0.407,0.443,134,247.6,5.4,37.6
Max Bishop,not_HOF,1338,5776,41,966,379,43,0.271,0.423,0.366,113,83.9,87,37.6
Kent Hrbek,not_HOF,1747,7137,293,903,1086,37,0.282,0.367,0.481,126,217,-87.1,37.6
Clyde Milan,not_HOF,1982,8312,17,1004,617,495,0.285,0.353,0.353,110,116.4,-43.3,37.6
Tim Wallach,not_HOF,2212,8908,260,908,1125,51,0.257,0.316,0.416,102,0.6,74,37.6
Sherm Lollar,not_HOF,1752,6218,155,623,808,20,0.264,0.357,0.402,106,45.9,122.8,37.5
Brett Gardner,not_HOF,1688,6614,139,943,578,274,0.256,0.342,0.398,103,92.6,47.4,37.3
Eddie Yost,not_HOF,2109,9175,139,1215,683,72,0.254,0.394,0.371,114,155.8,-91.7,37.1
Roger Maris,not_HOF,1463,5846,275,826,851,21,0.26,0.345,0.476,126,190.1,-12.2,36.9
Cy Williams,not_HOF,2002,7720,251,1024,1005,115,0.292,0.365,0.47,122,187.3,-87.6,36.9
Kip Selbach,not_HOF,1610,7089,44,1064,779,334,0.293,0.376,0.411,118,194,-57.4,36.7
Magglio Ordonez,not_HOF,1848,7745,294,1076,1236,94,0.309,0.369,0.502,126,229.2,-121.1,36.7
Donie Bush,not_HOF,1946,8734,9,1280,436,404,0.25,0.356,0.3,96,-45.6,83.4,36.6
Pedro Guerrero,not_HOF,1536,6115,215,730,898,97,0.3,0.37,0.48,137,261.5,-116.3,36.5
Ken Keltner,not_HOF,1526,6312,163,737,852,39,0.276,0.338,0.441,110,71.6,65.7,36.5
Adrian Gonzalez,not_HOF,1929,8046,317,997,1202,6,0.287,0.358,0.485,127,204.4,-106.9,36.5
Jason Kendall,not_HOF,2085,8702,75,1030,744,189,0.288,0.366,0.378,99,-6.8,98.6,36.5
Bill Bradley,not_HOF,1461,6046,33,754,552,181,0.271,0.317,0.371,105,46.6,103.5,36.4
Mickey Vernon,not_HOF,2409,9834,172,1196,1311,137,0.286,0.359,0.428,115,160,-141,36.4
Dan McGann,not_HOF,1436,6047,42,842,727,282,0.284,0.364,0.381,117,139.5,4.1,36.3
George Scott,not_HOF,2034,8269,271,957,1051,69,0.268,0.333,0.435,113,115.1,-20.2,36.3
Jayson Werth,not_HOF,1583,6366,229,883,799,132,0.267,0.36,0.455,120,186.6,-35.3,36.2
Wally Joyner,not_HOF,2033,8115,204,973,1106,60,0.289,0.362,0.44,116,154.9,-60.9,36.2
Heinie Zimmerman,not_HOF,1456,5740,58,695,796,175,0.295,0.331,0.419,118,121,25.8,36.1
Elvis Andrus,not_HOF,2059,8603,102,1058,775,347,0.269,0.325,0.37,86,-76.1,137.4,36.1
Ken Caminiti,not_HOF,1760,7127,239,894,983,88,0.272,0.347,0.447,114,130.4,3.4,36
Sid Gordon,not_HOF,1475,5811,202,735,805,19,0.283,0.377,0.466,128,205.9,-39.2,35.9
Kirk Gibson,not_HOF,1635,6656,255,985,870,284,0.268,0.352,0.463,123,205.6,-77.7,35.9
Curt Flood,not_HOF,1759,6958,85,851,636,88,0.293,0.342,0.389,102,5.7,98.8,35.9
Justin Turner,not_HOF,1758,6502,201,811,832,47,0.283,0.36,0.454,125,169.4,-30.1,35.8
Juan Gonzalez,not_HOF,1689,7155,434,1061,1404,26,0.295,0.343,0.561,129,256.8,-138.5,35.8
Anthony Rizzo,not_HOF,1727,7336,303,922,965,72,0.261,0.361,0.467,125,192,-81,35.8
Gavvy Cravath,not_HOF,1220,4645,119,575,719,89,0.287,0.38,0.478,150,240.9,-74.2,35.7
Eric Chavez,not_HOF,1615,6228,260,816,902,50,0.268,0.342,0.475,113,100,49.5,35.7
Richie Hebner,not_HOF,1908,7022,203,865,890,38,0.276,0.352,0.438,119,149.6,-50.7,35.7
Maury Wills,not_HOF,1942,8304,20,1067,458,586,0.281,0.33,0.331,91,-47.8,99.8,35.7
Alvin Dark,not_HOF,1828,7829,126,1064,757,59,0.289,0.333,0.411,98,-18.3,120.2,35.6
Billy Nash,not_HOF,1549,6719,60,1072,977,265,0.275,0.366,0.381,107,49.7,87.5,35.4
Tim Salmon,not_HOF,1672,7039,299,986,1016,48,0.282,0.385,0.498,130,262.7,-139.9,35.4
Bob Allison,not_HOF,1541,5921,256,811,796,84,0.255,0.358,0.471,129,195.1,-35.1,35.3
Paul Blair,not_HOF,1947,6673,134,776,620,171,0.25,0.302,0.382,97,-20.8,160.3,35.3
Dick McAuliffe,not_HOF,1763,7162,197,888,697,63,0.247,0.343,0.403,111,77.3,34.2,35.3
Ron Fairly,not_HOF,2442,8437,215,931,1044,35,0.266,0.36,0.408,117,168.9,-117.8,35.3
Al Rosen,not_HOF,1044,4374,192,603,717,39,0.285,0.384,0.495,138,200.4,0.8,35.2
Jonathan Lucroy,not_HOF,1210,4591,108,483,548,30,0.274,0.335,0.416,102,-10.6,196.3,35.2
Jose Bautista,not_HOF,1798,7244,344,1022,975,70,0.247,0.361,0.475,126,198.1,-106.3,35.2
Justin Upton,not_HOF,1845,7649,325,1058,1003,151,0.261,0.342,0.469,117,187.3,-94,35.2
Edgar Renteria,not_HOF,2152,9066,140,1200,923,294,0.286,0.343,0.398,95,-36.7,99.7,35.1
Lonnie Smith,not_HOF,1613,5952,98,909,533,370,0.288,0.371,0.42,123,169,-31.1,35
Bill Madlock,not_HOF,1806,7372,163,920,860,174,0.305,0.365,0.442,121,178.9,-95,35
George Grantham,not_HOF,1444,5897,105,912,712,132,0.302,0.392,0.461,122,184.5,-18.9,34.9
Eric Davis,not_HOF,1626,6147,282,938,934,349,0.269,0.359,0.482,126,234.5,-96.2,34.9
Mark Belanger,not_HOF,2016,6602,20,676,389,167,0.228,0.3,0.28,71,-206.4,345.6,34.9
Jason Heyward,not_HOF,1824,6995,186,879,730,125,0.255,0.336,0.408,104,60.1,51.2,34.9
Tip O'Neill,not_HOF,1054,4720,52,880,757,161,0.326,0.392,0.458,134,229.7,-24.9,34.8
Andy Pafko,not_HOF,1852,7026,213,844,976,38,0.285,0.35,0.449,116,144.7,-27.1,34.8
Rico Carty,not_HOF,1651,6318,204,712,890,21,0.299,0.369,0.464,132,224.3,-111.7,34.7
Phil Cavarretta,not_HOF,2030,7701,95,990,920,65,0.293,0.372,0.416,119,182.5,-97.8,34.7
Dom DiMaggio,not_HOF,1399,6478,87,1046,618,100,0.298,0.383,0.419,112,89.8,27.1,34.6
Johnny Callison,not_HOF,1886,7437,226,926,840,74,0.264,0.331,0.441,115,121.1,-44.8,34.6
Dummy Hoy,not_HOF,1796,8369,40,1426,726,594,0.287,0.386,0.373,112,170.5,-118.4,34.6
Danny Murphy,not_HOF,1496,5978,44,705,702,193,0.289,0.336,0.405,124,153.2,-34,34.5
Shin-Soo Choo,not_HOF,1652,7157,218,961,782,157,0.275,0.377,0.447,123,219.3,-127.2,34.4
Derrek Lee,not_HOF,1942,7963,331,1081,1078,104,0.281,0.365,0.495,123,217.2,-128.8,34.4
Troy Glaus,not_HOF,1537,6355,320,889,950,56,0.254,0.358,0.489,120,157.7,-20.4,34.3
